region,label,point_id,lat,lon,event_date,source_year,assunto,subdivisao,logradouro,bairro,confidence_tier,nominatim_display_name,nominatim_osm_id,duplicate_group_count,occurrence_phenomenon,dataset_role_source,allowed_use,prohibited_use,source_registry,negative_source_type,observation_unit_key,is_duplicate_observation_unit,elevation_m,elevation_m_status,slope_deg,slope_deg_status,hand_m_dinf,hand_m_dinf_status,twi_dinf,twi_dinf_status,rain_max_24h_chirps,rain_decay_index_api_chirps,rain_n_days_found,rain_status,rain_grid_lat,rain_grid_lon,rain_data_source,mapbiomas_class_2023,mapbiomas_class_2023_status,landcover_source,rain_peak_residual_orthogonalized
Curitiba,1,CUR_SIAC156_96cbab4cee639b97,-25.4283039,-49.2503145,2023-01-24,2023,Drenagem,Alagamentos,RUA SCHILLER,ALTO DA RUA XV,strong,"Rua Schiller, Alto da Rua XV, Curitiba, Paraná, Região Sul, 80045-245, Brasil",43948636,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,1bfb91fdadf3f094,False,891.9170532226562,OK,1.3989369869232178,OK,1.8300781244001882,OK,6.977813243865967,OK,18.4,39.521,14,OK,-25.413006,-49.241608,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-5.076348908804043
Curitiba,1,CUR_SIAC156_495cde8a5dd11cac,-25.5050446,-49.3195865,2023-07-07,2023,Drenagem,Alagamentos,RUA PEDRO GUSSO,CIDADE INDUSTRIAL,strong,"Rua Pedro Gusso, Núcleo Habitacional Nossa Senhora da Luz dos Pinhais, Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81310-900, Brasil",48361766,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,4f15c721502c55c3,False,925.7554321289062,OK,2.0521252155303955,OK,18.9471435546875,OK,8.771138191223145,OK,4.3,1.081,14,OK,-25.483305,-49.295013,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-5.40743833298851
Curitiba,1,CUR_SIAC156_618fb6087e256278,-25.5265376,-49.2759328,2023-04-18,2023,Drenagem,Alagamentos,Rua Monte Hermom,PINHEIRINHO,strong,"Rua Padre Rafael José Kalinowski, Moradias São Lucas, Pinheirinho, Curitiba, Paraná, Região Sul, 81825-300, Brasil",128988877,2.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,bc896e860f313496,False,899.9563598632812,OK,2.4329113960266113,OK,10.946350097356344,OK,8.147250175476074,OK,10.6,20.295,14,OK,-25.553602,-49.250824,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-5.989744467320447
Curitiba,1,CUR_SIAC156_9cc601905c28b06f,-25.5095439,-49.3396684,2023-02-17,2023,Drenagem,Alagamentos,RUA OSWALDO FERREIRA DOS SANTOS,CIDADE INDUSTRIAL,strong,"Rua Oswaldo Ferreira dos Santos, Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81350-260, Brasil",570512336,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,54f6bf72722d0d17,False,892.1998291015625,OK,3.450455904006958,OK,10.707458495643891,OK,5.829708576202393,OK,11.1,29.215,14,OK,-25.553602,-49.34854,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-8.684819450053917
Curitiba,1,CUR_SIAC156_7737a80e069afb0f,-25.5537218,-49.2528012,2023-05-09,2023,Drenagem,Alagamentos,RUA ITAGUAJÉ,SITIO CERCADO,strong,"Rua Itaguajé, Vila Osternack, Sítio Cercado, Curitiba, Paraná, Região Sul, 81935-060, Brasil",164975535,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,bcfa3b48ed87dd29,False,885.8255004882812,OK,0.43936917185783386,OK,4.800231933443797,OK,7.173207759857178,OK,3.1,2.815,14,OK,-25.553602,-49.250824,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-7.228543716403291
Curitiba,1,CUR_SIAC156_0283b5c9e0ad40e5,-25.4767366,-49.1923361,2023-05-18,2023,Drenagem,Alagamentos,RUA ANTONIO MOREIRA LOPES,CAJURU,strong,"Rua Antônio Moreira Lopes, Cajuru, Curitiba, Paraná, Região Sul, 82980-130, Brasil",1070406606,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,a59bfc17c0be67ed,False,874.3077392578125,OK,0.3863338828086853,OK,0.9694213861189382,OK,7.4634013175964355,OK,2.0,1.371,14,OK,-25.483305,-49.197388,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-7.811314089153612
Curitiba,1,CUR_SIAC156_f8bbb79b3d6341eb,-25.37057,-49.2477366,2023-03-17,2023,Drenagem,Alagamentos,RUA FERNANDO DE NORONHA,BARREIRINHA,strong,"Rua Fernando de Noronha, Barreirinha, Curitiba, Paraná, Região Sul, 82650-430, Brasil",976483006,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,495babae2c2abe04,False,953.55517578125,OK,7.862280368804932,OK,29.7926025390625,OK,4.282431125640869,OK,21.2,32.122,14,OK,-25.413006,-49.241608,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,0.37391564245659836
Curitiba,1,CUR_SIAC156_2b9e8aafe6c8e04b,-25.3675077,-49.2269901,2023-10-02,2023,Drenagem,Alagamentos,ESTRADA GUILHERME WEIGERT,SANTA CANDIDA,strong,"Estrada Guilherme Weigert, Santa Cândida, Curitiba, Paraná, Região Sul, 82620-360, Brasil",166726772,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,0c7813e1142e8e2a,False,939.1825561523438,OK,7.981042861938477,OK,23.15655517578125,OK,5.280540466308594,OK,22.9,43.416,14,OK,-25.342707,-49.188324,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,-1.97150777178015
Curitiba,1,CUR_SIAC156_bf9fed88ffa39a8d,-25.5378725,-49.2433394,2023-10-07,2023,Drenagem,Alagamentos,RUA EXPEDICIONARIO ANELIO DA LUZ,ALTO BOQUEIRAO,strong,"Rua Expedicionário Anélio da Luz, Alto Boqueirão, Curitiba, Paraná, Região Sul, 81850-360, Brasil",126822230,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,bfcb6a3d4e25c423,False,899.7350463867188,OK,1.77280855178833,OK,7.90234375,OK,8.827852249145508,OK,56.3,83.935,14,OK,-25.553602,-49.250824,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,16.914899938379328
Curitiba,1,CUR_SIAC156_d877fb2d8893b61c,-25.4006629,-49.3255125,2023-10-07,2023,Drenagem,Alagamentos,RUA CORONEL CARLOS VIEIRA DE CAMARGO,SANTA FELICIDADE,strong,"Rua Coronel Carlos Vieira de Camargo, Santa Felicidade, Curitiba, Paraná, Região Sul, 82020-470, Brasil",158126122,1.0,"flood (alagamento/enchente) - landslide excluded by category filter (SIAC 156 Assunto/Subdivisao is a distinct structured category, not free text)",siac156_curitiba_v1,"Ponto positivo administrativo geocodificado (mesmo criterio do v12 Recife). Nao e ground truth cartografico individual -- confianca strong = correspondencia de rua (geometria, nao numero exato); medium = fallback bairro-centroide.","Nao usar como score, threshold ou feature derivada do label. Nao promover a 'validado'/'confirmado' sem revisao do REV-P.",v20k2_dataset_positivos_curitiba_siac156_v1.csv,,0a38efa0f25c4d64,False,936.0181884765625,OK,12.815231323242188,OK,14.989135741887594,OK,5.5245466232299805,OK,60.7,86.167,14,OK,-25.413006,-49.33911,open_meteo_era5_land_archive_api,24,OK,mapbiomas_collection9_gee,20.51541480817069
